,symbol,metric,value
77,ABBV,CVSCVS Health Corporation,94.02
84,ABMD,Previous Close,355.57
85,ABMD,Open,357.32
86,ABMD,Bid,348.24 x 1000
87,ABMD,Ask,425.00 x 900
88,ABMD,Day's Range,351.21 - 362.30
89,ABMD,52 Week Range,254.41 - 387.40
90,ABMD,Volume,"234,596"
91,ABMD,Avg. Volume,"206,716"
92,ABMD,Market Cap,16.224B
93,ABMD,Beta (5Y Monthly),1.26
94,ABMD,PE Ratio (TTM),109.48
95,ABMD,EPS (TTM),3.26
96,ABMD,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
97,ABMD,Forward Dividend & Yield,N/A (N/A)
98,ABMD,Ex-Dividend Date,N/A
99,ABMD,1y Target Est,387.33
100,ABMD,Symbol,Last Price
101,ABMD,"ALGNAlign Technology, Inc.",685.91
102,ABMD,EWEdwards Lifesciences Corporation,114.31
103,ABMD,"ANETArista Networks, Inc.",521.41
104,ABMD,"DXCMDexCom, Inc.",637.39
105,ABMD,RMDResMed Inc.,253.30
112,ACN,Previous Close,371.23
113,ACN,Open,371.77
114,ACN,Bid,0.00 x 800
115,ACN,Ask,0.00 x 4000
116,ACN,Day's Range,368.06 - 372.12
117,ACN,52 Week Range,238.69 - 372.12
118,ACN,Volume,"1,745,455"
119,ACN,Avg. Volume,"1,835,338"
120,ACN,Market Cap,232.728B
121,ACN,Beta (5Y Monthly),1.13
122,ACN,PE Ratio (TTM),40.25
123,ACN,EPS (TTM),9.15
124,ACN,Earnings Date,"Dec 16, 2021"
125,ACN,Forward Dividend & Yield,3.88 (1.05%)
126,ACN,Ex-Dividend Date,"Oct 13, 2021"
127,ACN,1y Target Est,N/A
128,ACN,Symbol,Last Price
129,ACN,"ADPAutomatic Data Processing, Inc.",233.06
130,ACN,CTSHCognizant Technology Solutions Corporation,81.95
131,ACN,INTUIntuit Inc.,626.14
132,ACN,ADBEAdobe Inc.,659.73
133,ACN,"ADSKAutodesk, Inc.",326.39
140,ATVI,Previous Close,66.82
141,ATVI,Open,66.99
142,ATVI,Bid,66.90 x 800
143,ATVI,Ask,66.91 x 1000
144,ATVI,Day's Range,66.53 - 67.53
145,ATVI,52 Week Range,64.55 - 104.53
146,ATVI,Volume,"6,447,897"
147,ATVI,Avg. Volume,"8,855,286"
148,ATVI,Market Cap,52.318B
149,ATVI,Beta (5Y Monthly),0.59
150,ATVI,PE Ratio (TTM),19.93
151,ATVI,EPS (TTM),3.37
152,ATVI,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
153,ATVI,Forward Dividend & Yield,0.47 (0.70%)
154,ATVI,Ex-Dividend Date,"Apr 14, 2021"
155,ATVI,1y Target Est,99.05
156,ATVI,Symbol,Last Price
157,ATVI,EAElectronic Arts Inc.,139.75
158,ATVI,"TTWOTake-Two Interactive Software, Inc.",186.73
159,ATVI,"PYPLPayPal Holdings, Inc.",202.48
160,ATVI,ADBEAdobe Inc.,666.46
161,ATVI,NVDANVIDIA Corporation,303.40
168,ADBE,Previous Close,666.02
169,ADBE,Open,667.69
170,ADBE,Bid,666.43 x 1400
171,ADBE,Ask,666.76 x 2200
172,ADBE,Day's Range,663.00 - 669.45
173,ADBE,52 Week Range,420.78 - 677.76
174,ADBE,Volume,"750,112"
175,ADBE,Avg. Volume,"2,032,543"
176,ADBE,Market Cap,317.102B
177,ADBE,Beta (5Y Monthly),1.05
178,ADBE,PE Ratio (TTM),55.10
179,ADBE,EPS (TTM),12.10
180,ADBE,Earnings Date,"Dec 16, 2021"
181,ADBE,Forward Dividend & Yield,N/A (N/A)
182,ADBE,Ex-Dividend Date,"Mar 24, 2005"
183,ADBE,1y Target Est,706.37
184,ADBE,Symbol,Last Price
185,ADBE,"CRMsalesforce.com, inc.",309.25
186,ADBE,"PYPLPayPal Holdings, Inc.",202.50
187,ADBE,NVDANVIDIA Corporation,303.34
188,ADBE,MAMastercard Incorporated,343.15
189,ADBE,SHOPShopify Inc.,"1,545.20"
196,AMD,Previous Close,147.89
197,AMD,Open,148.00
198,AMD,Bid,145.60 x 800
199,AMD,Ask,145.67 x 1400
200,AMD,Day's Range,142.86 - 148.98
201,AMD,52 Week Range,72.50 - 155.65
202,AMD,Volume,"52,271,271"
203,AMD,Avg. Volume,"51,479,166"
204,AMD,Market Cap,176.903B
205,AMD,Beta (5Y Monthly),2.01
206,AMD,PE Ratio (TTM),45.19
207,AMD,EPS (TTM),3.24
208,AMD,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
209,AMD,Forward Dividend & Yield,N/A (N/A)
210,AMD,Ex-Dividend Date,"Apr 27, 1995"
211,AMD,1y Target Est,140.51
212,AMD,Symbol,Last Price
213,AMD,NVDANVIDIA Corporation,300.25
214,AMD,INTCIntel Corporation,50.32
215,AMD,"TSLATesla, Inc.","1,013.39"
216,AMD,"NFLXNetflix, Inc.",679.33
217,AMD,"FBMeta Platforms, Inc.",347.56
224,AAP,Previous Close,239.04
225,AAP,Open,240.02
226,AAP,Bid,241.84 x 800
227,AAP,Ask,237.00 x 900
228,AAP,Day's Range,239.50 - 243.05
229,AAP,52 Week Range,142.59 - 243.05
230,AAP,Volume,"1,014,294"
231,AAP,Avg. Volume,"607,579"
232,AAP,Market Cap,15.24B
233,AAP,Beta (5Y Monthly),1.29
234,AAP,PE Ratio (TTM),26.06
235,AAP,EPS (TTM),9.28
236,AAP,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
237,AAP,Forward Dividend & Yield,4.00 (1.67%)
238,AAP,Ex-Dividend Date,"Sep 16, 2021"
239,AAP,1y Target Est,240.65
240,AAP,Symbol,Last Price
241,AAP,"AZOAutoZone, Inc.","1,911.84"
242,AAP,"ORLYO'Reilly Automotive, Inc.",649.76
243,AAP,GPCGenuine Parts Company,137.01
244,AAP,"KMXCarMax, Inc.",149.62
245,AAP,BWABorgWarner Inc.,48.55
252,AES,Previous Close,24.72
253,AES,Open,25.00
254,AES,Bid,0.00 x 2900
255,AES,Ask,0.00 x 1100
256,AES,Day's Range,24.67 - 25.09
257,AES,52 Week Range,20.27 - 29.07
258,AES,Volume,"3,036,677"
259,AES,Avg. Volume,"5,145,500"
260,AES,Market Cap,16.688B
261,AES,Beta (5Y Monthly),N/A
262,AES,PE Ratio (TTM),32.26
263,AES,EPS (TTM),0.78
264,AES,Earnings Date,"Nov 04, 2021"
265,AES,Forward Dividend & Yield,0.60 (2.41%)
266,AES,Ex-Dividend Date,"Nov 01, 2021"
267,AES,1y Target Est,30.39
268,AES,Symbol,Last Price
269,AES,EIXEdison International,64.58
270,AES,CMSCMS Energy Corporation,61.17
271,AES,"CNPCenterPoint Energy, Inc.",26.95
272,AES,ETREntergy Corporation,105.04
273,AES,"AEPAmerican Electric Power Company, Inc.",82.88
280,AFL,Previous Close,57.01
281,AFL,Open,57.24
282,AFL,Bid,0.00 x 800
283,AFL,Ask,0.00 x 1400
284,AFL,Day's Range,56.97 - 57.76
285,AFL,52 Week Range,42.23 - 57.76
286,AFL,Volume,"3,372,497"
287,AFL,Avg. Volume,"2,780,725"
288,AFL,Market Cap,38.084B
289,AFL,Beta (5Y Monthly),0.99
290,AFL,PE Ratio (TTM),9.34
291,AFL,EPS (TTM),6.17
292,AFL,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
293,AFL,Forward Dividend & Yield,1.32 (2.32%)
294,AFL,Ex-Dividend Date,"Nov 16, 2021"
295,AFL,1y Target Est,58.80
296,AFL,Symbol,Last Price
297,AFL,CBChubb Limited,193.16
298,AFL,CINFCincinnati Financial Corporation,121.48
299,AFL,"ADPAutomatic Data Processing, Inc.",233.06
300,AFL,"BENFranklin Resources, Inc.",35.74
301,AFL,"APDAir Products and Chemicals, Inc.",303.80
308,A,Previous Close,160.88
309,A,Open,161.25
310,A,Bid,0.00 x 800
311,A,Ask,0.00 x 800
312,A,Day's Range,157.50 - 162.33
313,A,52 Week Range,105.19 - 179.57
314,A,Volume,"1,097,197"
315,A,Avg. Volume,"1,460,227"
316,A,Market Cap,47.764B
317,A,Beta (5Y Monthly),0.98
318,A,PE Ratio (TTM),49.18
319,A,EPS (TTM),3.21
320,A,Earnings Date,"Nov 22, 2021"
321,A,Forward Dividend & Yield,0.78 (0.49%)
322,A,Ex-Dividend Date,"Oct 04, 2021"
323,A,1y Target Est,N/A
324,A,Symbol,Last Price
325,A,HPQHP Inc.,31.35
326,A,"KEYSKeysight Technologies, Inc.",188.19
327,A,"ADIAnalog Devices, Inc.",185.06
328,A,"JNPRJuniper Networks, Inc.",32.14
329,A,"AMATApplied Materials, Inc.",156.27
336,APD,Previous Close,310.52
337,APD,Open,310.87
338,APD,Bid,301.00 x 800
339,APD,Ask,312.00 x 800
340,APD,Day's Range,309.22 - 310.87
341,APD,52 Week Range,245.75 - 316.39
342,APD,Volume,"1,233,490"
343,APD,Avg. Volume,"1,022,144"
344,APD,Market Cap,68.623B
345,APD,Beta (5Y Monthly),0.81
346,APD,PE Ratio (TTM),32.85
347,APD,EPS (TTM),9.44
348,APD,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
349,APD,Forward Dividend & Yield,6.00 (1.94%)
350,APD,Ex-Dividend Date,"Sep 30, 2021"
351,APD,1y Target Est,321.87
352,APD,Symbol,Last Price
353,APD,ECLEcolab Inc.,235.67
354,APD,"PPGPPG Industries, Inc.",161.64
355,APD,DOVDover Corporation,172.86
356,APD,ITWIllinois Tool Works Inc.,238.59
357,APD,"BDXBecton, Dickinson and Company",244.00
364,AKAM,Previous Close,109.33
365,AKAM,Open,109.79
366,AKAM,Bid,109.50 x 1000
367,AKAM,Ask,112.20 x 800
368,AKAM,Day's Range,109.39 - 111.54
369,AKAM,52 Week Range,92.64 - 124.91
370,AKAM,Volume,"1,372,872"
371,AKAM,Avg. Volume,"1,255,089"
372,AKAM,Market Cap,18.118B
373,AKAM,Beta (5Y Monthly),0.54
374,AKAM,PE Ratio (TTM),30.63
375,AKAM,EPS (TTM),3.64
376,AKAM,Earnings Date,"Nov 02, 2021"
377,AKAM,Forward Dividend & Yield,N/A (N/A)
378,AKAM,Ex-Dividend Date,N/A
379,AKAM,1y Target Est,134.31
380,AKAM,Symbol,Last Price
381,AKAM,"FFIVF5 Networks, Inc.",229.45
382,AKAM,"JNPRJuniper Networks, Inc.",32.03
383,AKAM,"CTXSCitrix Systems, Inc.",89.68
384,AKAM,"NTAPNetApp, Inc.",89.79
385,AKAM,"VRSNVeriSign, Inc.",236.05
392,ALK,Previous Close,55.65
393,ALK,Open,56.05
394,ALK,Bid,0.00 x 900
395,ALK,Ask,0.00 x 900
396,ALK,Day's Range,55.38 - 56.40
397,ALK,52 Week Range,46.00 - 74.25
398,ALK,Volume,"1,172,032"
399,ALK,Avg. Volume,"1,707,872"
400,ALK,Market Cap,6.976B
401,ALK,Beta (5Y Monthly),1.64
402,ALK,PE Ratio (TTM),535.29
403,ALK,EPS (TTM),0.10
404,ALK,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
405,ALK,Forward Dividend & Yield,N/A (N/A)
406,ALK,Ex-Dividend Date,"Feb 14, 2020"
407,ALK,1y Target Est,77.93
408,ALK,Symbol,Last Price
409,ALK,JBLUJetBlue Airways Corporation,15.36
410,ALK,"UALUnited Airlines Holdings, Inc.",50.48
411,ALK,LUVSouthwest Airlines Co.,49.13
412,ALK,"SAVESpirit Airlines, Inc.",23.86
413,ALK,"HAHawaiian Holdings, Inc.",22.31
420,ALB,Previous Close,272.31
421,ALB,Open,272.49
422,ALB,Bid,273.70 x 1000
423,ALB,Ask,282.50 x 1100
424,ALB,Day's Range,270.10 - 276.62
425,ALB,52 Week Range,122.45 - 282.87
426,ALB,Volume,"767,743"
427,ALB,Avg. Volume,"1,243,212"
428,ALB,Market Cap,32.332B
429,ALB,Beta (5Y Monthly),1.60
430,ALB,PE Ratio (TTM),148.12
431,ALB,EPS (TTM),1.87
432,ALB,Earnings Date,"Nov 03, 2021"
433,ALB,Forward Dividend & Yield,1.56 (0.56%)
434,ALB,Ex-Dividend Date,"Dec 16, 2021"
435,ALB,1y Target Est,249.59
436,ALB,Symbol,Last Price
437,ALB,SQMSociedad Química y Minera de Chile S.A.,66.01
438,ALB,LTHMLivent Corporation,31.30
439,ALB,FMCFMC Corporation,106.09
440,ALB,LACLithium Americas Corp.,34.39
441,ALB,PLLPiedmont Lithium Inc.,64.25
448,ARE,Previous Close,205.55
449,ARE,Open,205.94
450,ARE,Bid,204.93 x 1200
451,ARE,Ask,205.07 x 1000
452,ARE,Day's Range,203.76 - 205.94
453,ARE,52 Week Range,154.37 - 211.70
454,ARE,Volume,"137,567"
455,ARE,Avg. Volume,"641,489"
456,ARE,Market Cap,31.818B
457,ARE,Beta (5Y Monthly),0.77
458,ARE,PE Ratio (TTM),31.52
459,ARE,EPS (TTM),6.51
460,ARE,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
461,ARE,Forward Dividend & Yield,4.48 (2.18%)
462,ARE,Ex-Dividend Date,"Sep 29, 2021"
463,ARE,1y Target Est,225.95
464,ARE,Symbol,Last Price
465,ARE,"AVBAvalonBay Communities, Inc.",243.31
466,ARE,"ESSEssex Property Trust, Inc.",348.09
467,ARE,REGRegency Centers Corporation,74.48
468,ARE,"BXPBoston Properties, Inc.",119.45
469,ARE,"MAAMid-America Apartment Communities, Inc.",206.02
476,ALGN,Previous Close,687.80
477,ALGN,Open,692.06
478,ALGN,Bid,678.96 x 800
479,ALGN,Ask,720.00 x 800
480,ALGN,Day's Range,674.51 - 692.06
481,ALGN,52 Week Range,439.71 - 737.45
482,ALGN,Volume,"325,181"
483,ALGN,Avg. Volume,"594,064"
484,ALGN,Market Cap,53.635B
485,ALGN,Beta (5Y Monthly),1.57
486,ALGN,PE Ratio (TTM),73.31
487,ALGN,EPS (TTM),9.28
488,ALGN,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
489,ALGN,Forward Dividend & Yield,N/A (N/A)
490,ALGN,Ex-Dividend Date,N/A
491,ALGN,1y Target Est,761.83
492,ALGN,Symbol,Last Price
493,ALGN,"ABMDAbiomed, Inc.",348.36
494,ALGN,"ISRGIntuitive Surgical, Inc.",353.56
495,ALGN,"IDXXIDEXX Laboratories, Inc.",618.96
496,ALGN,"ANETArista Networks, Inc.",528.17
497,ALGN,"DXCMDexCom, Inc.",641.95
504,ALL,Previous Close,114.66
505,ALL,Open,114.64
506,ALL,Bid,113.51 x 800
507,ALL,Ask,116.74 x 800
508,ALL,Day's Range,114.38 - 115.94
509,ALL,52 Week Range,97.05 - 140.00
510,ALL,Volume,"2,372,924"
511,ALL,Avg. Volume,"1,584,143"
512,ALL,Market Cap,32.885B
513,ALL,Beta (5Y Monthly),0.82
514,ALL,PE Ratio (TTM),10.59
515,ALL,EPS (TTM),10.83
516,ALL,Earnings Date,"Feb 02, 2022"
517,ALL,Forward Dividend & Yield,3.24 (2.82%)
518,ALL,Ex-Dividend Date,"Aug 30, 2021"
519,ALL,1y Target Est,138.67
520,ALL,Symbol,Last Price
521,ALL,CBChubb Limited,192.84
522,ALL,"HIGThe Hartford Financial Services Group, Inc.",71.75
523,ALL,PGRThe Progressive Corporation,96.17
524,ALL,AFLAflac Incorporated,57.01
525,ALL,DFSDiscover Financial Services,119.44
532,GOOGL,Previous Close,"2,978.37"
533,GOOGL,Open,"2,950.00"
534,GOOGL,Bid,"2,954.71 x 800"
535,GOOGL,Ask,"2,954.06 x 800"
536,GOOGL,Day's Range,"2,918.59 - 2,961.40"
537,GOOGL,52 Week Range,"1,694.00 - 3,012.30"
538,GOOGL,Volume,"379,598"
539,GOOGL,Avg. Volume,"1,447,756"
540,GOOGL,Market Cap,1.959T
541,GOOGL,Beta (5Y Monthly),1.04
542,GOOGL,PE Ratio (TTM),28.40
543,GOOGL,EPS (TTM),103.81
544,GOOGL,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
545,GOOGL,Forward Dividend & Yield,N/A (N/A)
546,GOOGL,Ex-Dividend Date,N/A
547,GOOGL,1y Target Est,"3,256.60"
548,GOOGL,Symbol,Last Price
549,GOOGL,"FBMeta Platforms, Inc.",332.04
550,GOOGL,NVDANVIDIA Corporation,302.84
551,GOOGL,BABAAlibaba Group Holding Limited,165.14
552,GOOGL,"AMZNAmazon.com, Inc.","3,586.74"
553,GOOGL,"NFLXNetflix, Inc.",650.37
560,GOOG,Previous Close,"2,934.96"
561,GOOG,Open,"2,956.63"
562,GOOG,Bid,"2,990.02 x 900"
563,GOOG,Ask,"2,994.99 x 1000"
564,GOOG,Day's Range,"2,929.08 - 2,997.00"
565,GOOG,52 Week Range,"1,699.00 - 3,020.69"
566,GOOG,Volume,"852,383"
567,GOOG,Avg. Volume,"1,114,014"
568,GOOG,Market Cap,1.98T
569,GOOG,Beta (5Y Monthly),1.04
570,GOOG,PE Ratio (TTM),28.83
571,GOOG,EPS (TTM),103.81
572,GOOG,Earnings Date,N/A
573,GOOG,Forward Dividend & Yield,N/A (N/A)
574,GOOG,Ex-Dividend Date,N/A
575,GOOG,1y Target Est,"3,279.44"
576,GOOG,Symbol,Last Price
577,GOOG,"FBMeta Platforms, Inc.",340.89
578,GOOG,"AMZNAmazon.com, Inc.","3,525.15"
579,GOOG,AAPLApple Inc.,149.99
580,GOOG,"NFLXNetflix, Inc.",682.61
581,GOOG,"TSLATesla, Inc.","1,033.42"
588,MO,Previous Close,45.07
589,MO,Open,45.12
590,MO,Bid,44.89 x 1000
591,MO,Ask,44.90 x 1100
592,MO,Day's Range,44.44 - 45.21
593,MO,52 Week Range,38.48 - 52.59
594,MO,Volume,"5,701,202"
595,MO,Avg. Volume,"6,901,466"
596,MO,Market Cap,82.38B
597,MO,Beta (5Y Monthly),0.67
598,MO,PE Ratio (TTM),30.02
599,MO,EPS (TTM),1.49
600,MO,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
601,MO,Forward Dividend & Yield,3.60 (7.99%)
602,MO,Ex-Dividend Date,"Sep 14, 2021"
603,MO,1y Target Est,53.90
604,MO,Symbol,Last Price
605,MO,PMPhilip Morris International Inc.,93.49
606,MO,PGThe Procter & Gamble Company,145.32
607,MO,JNJJohnson & Johnson,162.68
608,MO,"MRKMerck & Co., Inc.",82.56
609,MO,XOMExxon Mobil Corporation,66.25
616,AMZN,Previous Close,"3,488.98"
617,AMZN,Open,"3,515.25"
618,AMZN,Bid,0.00 x 900
619,AMZN,Ask,0.00 x 1000
620,AMZN,Day's Range,"3,501.43 - 3,593.60"
621,AMZN,52 Week Range,"2,881.00 - 3,773.08"
622,AMZN,Volume,"4,294,922"
623,AMZN,Avg. Volume,"3,048,885"
624,AMZN,Market Cap,1.814T
625,AMZN,Beta (5Y Monthly),1.11
626,AMZN,PE Ratio (TTM),69.99
627,AMZN,EPS (TTM),51.10
628,AMZN,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
629,AMZN,Forward Dividend & Yield,N/A (N/A)
630,AMZN,Ex-Dividend Date,N/A
631,AMZN,1y Target Est,"4,066.41"
632,AMZN,Symbol,Last Price
633,AMZN,"FBMeta Platforms, Inc.",335.37
634,AMZN,AAPLApple Inc.,150.81
635,AMZN,GOOGAlphabet Inc.,"2,984.97"
636,AMZN,"TSLATesla, Inc.","1,023.50"
637,AMZN,"NFLXNetflix, Inc.",655.99
644,AMCR,Previous Close,12.38
645,AMCR,Open,12.38
646,AMCR,Bid,12.40 x 4000
647,AMCR,Ask,12.41 x 2200
648,AMCR,Day's Range,12.34 - 12.45
649,AMCR,52 Week Range,10.33 - 12.92
650,AMCR,Volume,"1,764,482"
651,AMCR,Avg. Volume,"5,702,700"
652,AMCR,Market Cap,19.019B
653,AMCR,Beta (5Y Monthly),0.45
654,AMCR,PE Ratio (TTM),20.44
655,AMCR,EPS (TTM),0.61
656,AMCR,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
657,AMCR,Forward Dividend & Yield,0.48 (3.88%)
658,AMCR,Ex-Dividend Date,"Nov 23, 2021"
659,AMCR,1y Target Est,12.60
660,AMCR,Symbol,Last Price
661,AMCR,"ESSEssex Property Trust, Inc.",349.80
662,AMCR,AOSA. O. Smith Corporation,81.64
663,AMCR,"PBCTPeople's United Financial, Inc.",18.52
664,AMCR,ATOAtmos Energy Corporation,95.74
665,AMCR,"BENFranklin Resources, Inc.",35.75
672,AAL,Previous Close,20.29
673,AAL,Open,21.34
674,AAL,Bid,20.43 x 1300
675,AAL,Ask,0.00 x 4000
676,AAL,Day's Range,20.40 - 20.42
677,AAL,52 Week Range,12.23 - 26.09
678,AAL,Volume,"727,991"
679,AAL,Avg. Volume,"29,535,651"
680,AAL,Market Cap,13.222B
681,AAL,Beta (5Y Monthly),1.68
682,AAL,PE Ratio (TTM),N/A
683,AAL,EPS (TTM),-5.18
684,AAL,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
685,AAL,Forward Dividend & Yield,N/A (N/A)
686,AAL,Ex-Dividend Date,"Feb 04, 2020"
687,AAL,1y Target Est,19.08
688,AAL,Symbol,Last Price
689,AAL,"DALDelta Air Lines, Inc.",42.76
690,AAL,"UALUnited Airlines Holdings, Inc.",50.18
691,AAL,CCLCarnival Corporation & plc,22.49
692,AAL,LUVSouthwest Airlines Co.,49.08
693,AAL,NCLHNorwegian Cruise Line Holdings Ltd.,25.81
700,AEP,Previous Close,82.02
701,AEP,Open,82.25
702,AEP,Bid,82.62 x 800
703,AEP,Ask,82.62 x 1100
704,AEP,Day's Range,81.83 - 82.88
705,AEP,52 Week Range,74.80 - 91.49
706,AEP,Volume,"1,305,735"
707,AEP,Avg. Volume,"2,575,581"
708,AEP,Market Cap,41.593B
709,AEP,Beta (5Y Monthly),0.32
710,AEP,PE Ratio (TTM),17.34
711,AEP,EPS (TTM),4.76
712,AEP,Earnings Date,"Oct 28, 2021"
713,AEP,Forward Dividend & Yield,3.12 (3.80%)
714,AEP,Ex-Dividend Date,"Nov 09, 2021"
715,AEP,1y Target Est,96.16
716,AEP,Symbol,Last Price
717,AEP,SOThe Southern Company,62.04
718,AEP,"DDominion Energy, Inc.",75.54
719,AEP,DUKDuke Energy Corporation,100.53
720,AEP,"EDConsolidated Edison, Inc.",78.58
721,AEP,FEFirstEnergy Corp.,39.26
728,AXP,Previous Close,181.89
729,AXP,Open,182.53
730,AXP,Bid,0.00 x 1000
731,AXP,Ask,0.00 x 1000
732,AXP,Day's Range,182.04 - 183.93
733,AXP,52 Week Range,111.90 - 189.03
734,AXP,Volume,"1,697,162"
735,AXP,Avg. Volume,"3,447,192"
736,AXP,Market Cap,141.844B
737,AXP,Beta (5Y Monthly),1.22
738,AXP,PE Ratio (TTM),19.13
739,AXP,EPS (TTM),9.57
740,AXP,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
741,AXP,Forward Dividend & Yield,1.72 (0.94%)
742,AXP,Ex-Dividend Date,"Oct 07, 2021"
743,AXP,1y Target Est,190.44
744,AXP,Symbol,Last Price
745,AXP,"GSThe Goldman Sachs Group, Inc.",404.81
746,AXP,VVisa Inc.,212.30
747,AXP,MAMastercard Incorporated,361.36
748,AXP,WFCWells Fargo & Company,51.08
749,AXP,MMM3M Company,183.31
756,AIG,Previous Close,58.21
757,AIG,Open,58.39
758,AIG,Bid,0.00 x 800
759,AIG,Ask,0.00 x 800
760,AIG,Day's Range,57.87 - 58.59
761,AIG,52 Week Range,36.77 - 62.54
762,AIG,Volume,"3,468,368"
763,AIG,Avg. Volume,"4,259,044"
764,AIG,Market Cap,48.232B
765,AIG,Beta (5Y Monthly),1.36
766,AIG,PE Ratio (TTM),9.11
767,AIG,EPS (TTM),6.38
768,AIG,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
769,AIG,Forward Dividend & Yield,1.28 (2.20%)
770,AIG,Ex-Dividend Date,"Dec 15, 2021"
771,AIG,1y Target Est,63.00
772,AIG,Symbol,Last Price
773,AIG,CCitigroup Inc.,68.74
774,AIG,AXPAmerican Express Company,183.13
775,AIG,"GSThe Goldman Sachs Group, Inc.",404.81
776,AIG,MSMorgan Stanley,100.21
777,AIG,BACBank of America Corporation,47.05
784,AMT,Previous Close,272.10
785,AMT,Open,267.33
786,AMT,Bid,260.58 x 1100
787,AMT,Ask,261.00 x 1000
788,AMT,Day's Range,259.14 - 268.54
789,AMT,52 Week Range,197.50 - 303.72
790,AMT,Volume,"3,390,516"
791,AMT,Avg. Volume,"1,458,506"
792,AMT,Market Cap,118.635B
793,AMT,Beta (5Y Monthly),0.30
794,AMT,PE Ratio (TTM),47.30
795,AMT,EPS (TTM),5.51
796,AMT,Earnings Date,"Oct 28, 2021"
797,AMT,Forward Dividend & Yield,5.24 (1.93%)
798,AMT,Ex-Dividend Date,"Sep 27, 2021"
799,AMT,1y Target Est,306.90
800,AMT,Symbol,Last Price
801,AMT,CCICrown Castle International Corp. (REIT),182.78
802,AMT,SBACSBA Communications Corporation,348.07
803,AMT,"EQIXEquinix, Inc. (REIT)",797.84
